delivery_index,destination_id,forecast_expected_net_profit,good_id,market_pressure_after,quantity_delivered,quantity_purchased,route_id,sale_price_after,sale_price_before,seed,status,choice
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,8,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,9,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,9,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,9,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,10,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,10,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,10,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,11,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,11,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,11,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,12,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,12,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,12,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,13,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,13,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,13,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,14,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,14,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,14,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,15,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,15,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,15,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,16,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,16,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,16,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,17,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,17,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,17,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,18,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,18,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,18,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,19,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,19,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,19,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,20,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,20,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,20,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,21,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,21,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,21,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,22,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,22,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,22,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,23,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,23,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,23,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,24,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,24,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,24,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,25,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,25,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,25,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,26,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,26,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,26,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,27,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,27,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,27,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,28,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,28,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,28,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,29,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,29,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,29,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,30,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,30,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,30,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,31,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,31,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,31,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,32,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,32,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,32,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,33,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,33,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,33,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,34,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,34,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,34,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,35,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,35,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,35,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,36,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,36,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,36,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,37,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,37,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,37,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,38,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,38,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,38,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,39,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,39,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,39,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,40,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,40,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,40,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,41,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,41,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,41,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,42,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,42,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,42,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,43,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,43,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,43,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,44,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,44,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,44,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,45,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,45,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,45,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,46,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,46,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,46,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,47,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,47,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,47,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,48,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,48,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,48,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,49,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,49,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,49,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,50,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,50,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,50,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,51,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,51,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,51,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,52,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,52,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,52,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,53,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,53,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,53,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,54,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,54,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,54,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,55,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,55,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,55,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,56,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,56,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,56,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,57,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,57,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,57,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,58,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,58,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,58,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,59,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,59,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,59,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,60,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,60,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,60,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,61,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,61,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,61,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,62,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,62,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,62,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,63,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,63,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,63,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,64,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,64,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,64,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,65,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,65,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,65,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,66,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,66,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,66,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,67,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,67,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,67,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,68,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,68,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,68,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,69,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,69,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,69,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,70,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,70,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,70,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,71,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,71,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,71,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,72,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,72,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,72,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,73,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,73,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,73,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,74,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,74,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,74,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,75,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,75,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,75,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,76,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,76,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,76,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,77,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,77,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,77,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,78,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,78,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,78,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,79,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,79,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,79,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,80,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,80,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,80,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,81,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,81,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,81,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,82,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,82,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,82,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,83,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,83,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,83,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,84,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,84,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,84,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,85,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,85,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,85,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,86,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,86,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,86,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,87,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,87,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,87,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,88,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,88,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,88,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,89,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,89,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,89,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,90,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,90,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,90,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,91,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,91,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,91,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.24,6,7,old_road,24,32,92,completed,water → reedwatch / old_road
2,reedwatch,114,water,0.35,12,12,old_road,25,33,92,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,92,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,93,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,93,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,93,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,94,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,94,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,94,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,95,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,95,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,95,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,96,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,96,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,96,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,97,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,97,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.306,9,10,old_road,42,60,97,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,98,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,12,12,old_road,25,31,98,completed,water → reedwatch / old_road
3,reedwatch,177,medicine,0.34,10,10,old_road,40,60,98,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,99,completed,water → reedwatch / old_road
2,reedwatch,91,water,0.35,11,12,old_road,25,31,99,completed,water → reedwatch / old_road
3,reedwatch,156,medicine,0.306,9,9,old_road,42,60,99,completed,medicine → reedwatch / old_road
1,reedwatch,99,water,0.28,7,7,old_road,23,32,100,completed,water → reedwatch / old_road
